"","log2fc.line.logcbc","pvalue.line.logcbc","qvalue.line.logcbc","log2fc.line.cbc","pvalue.line.cbc","qvalue.line.cbc"
"ENSSSCG00000005655",0.225344630062378,0.0526518047017709,0.140546194169136,0.153025308340926,0.222910274896455,0.317352275642459
"ENSSSCG00000005656",0.0788145180977218,0.343914261046628,0.358828533423489,0.128917552390459,0.129964650198539,0.247186685089862
"ENSSSCG00000005657",0.127456845914086,0.283725546296342,0.325623304864662,0.0422904881400227,0.748444506632301,0.542642084349627
"ENSSSCG00000005659",0.0706367920339707,0.518217738965872,0.437088164517599,0.0542260789362629,0.625826744164482,0.502812464699283
"ENSSSCG00000005660",0.0181547205886745,0.745606534464891,0.521738494552606,0.0406671090225605,0.447421542100537,0.433063293855075
"ENSSSCG00000005661",0.0439251518684222,0.65848692968283,0.491806915690128,0.0201412128969182,0.836386612022995,0.567755832537796
"ENSSSCG00000005662",0.106330816993951,0.205776216136601,0.27779890012599,0.112973645825083,0.137497980024801,0.2520178609619
"ENSSSCG00000005663",0.281530740658264,0.173189882657964,0.25505787026498,0.266499768555482,0.180899372635012,0.285705098885861
"ENSSSCG00000005664",0.17753374127053,0.00252349176762401,0.0357903793501537,0.164230202340378,0.00462334305996537,0.0587597917498527
"ENSSSCG00000005665",0.0124380469900196,0.957447224419459,0.584082867449193,0.0249613369723239,0.910764839820988,0.587499238028949
"ENSSSCG00000005666",0.0262650636322506,0.813663615309772,0.543348355858086,0.0738216407237189,0.47567096178135,0.446264162922911
"ENSSSCG00000005667",0.0353803370720969,0.476857438914177,0.421194136604985,0.0458631650660271,0.427182134124844,0.423744963259119
"ENSSSCG00000005668",0.0790902619112105,0.283634803115623,0.32557041642464,0.0856627182377681,0.286192000415621,0.355069856213111
"ENSSSCG00000005669",0.025209930061605,0.681310146361783,0.499234558289341,0.0106643579297615,0.883128360275132,0.580474528546396
"ENSSSCG00000005670",0.128640250918934,0.0727097979942608,0.163830655660229,0.115155090292755,0.0952211132892383,0.215834523455607
"ENSSSCG00000005671",0.312859643920995,0.295528676663779,0.331895743142974,0.24210261652959,0.38320362047544,0.40409151164236
"ENSSSCG00000005672",0.26099240778897,0.180802331781472,0.260381074414644,0.298591323402867,0.106432733775758,0.226652085189072
"ENSSSCG00000005673",0.275014206648703,0.129167796447718,0.21812544518245,0.194075197537721,0.287590731727685,0.356037516273268
"ENSSSCG00000005678",0.0801627594452116,0.358740501991201,0.366790779735744,0.103474789850654,0.239503767506684,0.328954862458685
"ENSSSCG00000005679",0.109092604250513,0.052776000055067,0.140620263304619,0.0941330806446715,0.0849276693756547,0.204592259880804
"ENSSSCG00000005683",0.176646158825685,0.0201523896926159,0.0902099982884973,0.20879292201065,0.0057800610643971,0.0648104312335386
"ENSSSCG00000005689",0.0590463166646631,0.143812643205657,0.230619042888086,0.0564401404468176,0.166039992455919,0.274734503397548
"ENSSSCG00000005702",0.0993135125137295,0.0440312821376756,0.129657200484089,0.10773394080826,0.0296320768906002,0.129441834069352
"ENSSSCG00000005704",0.104612546298579,0.113421048356008,0.204006770914211,0.103187447546948,0.120791143228348,0.23975084249534
"ENSSSCG00000005706",0.050882380937191,0.493091090762513,0.427484931294053,0.0553443150954096,0.448700984892525,0.433911868223205
"ENSSSCG00000005711",0.0688163817999196,0.181292846545899,0.26054661639842,0.0794158210151471,0.114358778267428,0.233589203014845
"ENSSSCG00000005713",0.18147753713105,0.559621473583445,0.45389859172489,0.158287649925491,0.618927870822004,0.500761504673128
"ENSSSCG00000005715",0.0152945730801664,0.79553511211936,0.538220543267697,0.0141455812930989,0.803811673951063,0.55883551641918
"ENSSSCG00000005716",0.0495744562997233,0.664568003595056,0.49388681658442,0.0297086112887928,0.784929348464978,0.553371491660512
"ENSSSCG00000005717",0.122694038373479,0.0208742756835982,0.0918155633346081,0.123856462066264,0.0204304263762718,0.11112231233371
"ENSSSCG00000005719",0.0528025905091433,0.40877304378995,0.390248611152677,0.0546556845102306,0.373018767815114,0.399160124289391
"ENSSSCG00000005720",0.187208121805595,0.012092243601916,0.0719998617999157,0.147212539691422,0.035337586641488,0.139928612005469
"ENSSSCG00000005724",0.169376692167942,0.123408878562591,0.212509299025234,0.148627036584203,0.20548240225614,0.30514361105339
"ENSSSCG00000005725",0.0138751142175407,0.838424749221657,0.551247675763929,0.0120263667982825,0.853984355853067,0.572247734776343
"ENSSSCG00000005729",0.0661750856861365,0.269245853378411,0.317568258145216,0.0213577919272039,0.725268436878621,0.535433074205693
"ENSSSCG00000005731",0.0738151632918877,0.37390945399555,0.374219464669538,0.0597098402860523,0.451171212163623,0.435279535281733
"ENSSSCG00000005733",0.0502992777467345,0.513430380926308,0.435721024821771,0.0482407911141399,0.544408772387073,0.474336356139231
"ENSSSCG00000005735",0.302881158280145,0.0317763920483052,0.112711066126148,0.276761351678375,0.0421745869671163,0.149846708267235
"ENSSSCG00000005737",0.0888625320781888,0.559765338890869,0.453914273694598,0.178853098692518,0.249840290466211,0.333179777622974
"ENSSSCG00000005738",0.115457250647012,0.0644144032766936,0.154513735983901,0.137342159968992,0.0218281570954257,0.113571527223929
"ENSSSCG00000005739",0.0694020909029311,0.373911465110139,0.374219464669538,0.0412689691789761,0.576999623148829,0.485812379688568
"ENSSSCG00000005743",0.327956176298517,0.0154730614791915,0.0792677979195789,0.315541152721968,0.0172681015070428,0.102593645172899
"ENSSSCG00000005749",0.107565571299212,0.0371460326741502,0.121039167490013,0.0681332010897004,0.25461416429113,0.335749328128825
